도서명,카테고리,AR,작가,출판사,ISBN,설명,메인,상세페이지,검색어
Disney Junior Let's Read Together!: World of Reading (5 Fun Stories)(Level 1),추천 리더스,2.7,Disney Press,Disney Press,9781368073868,"디즈니 주니어 캐릭터들과 함께 다양한 이야기를 읽으며 영어 읽기의 기초를 익힐 수 있습니다. 친숙한 캐릭터와 일상적인 주제를 활용해 쉬운 어휘와 문장 표현을 자연스럽게 접하고, 반복 읽기를 통해 읽기 능력과 이해력을 키울 수 있습니다. 영어 독서를 처음 시작하는 어린이가 부담 없이 문장 구조를 익히고 자신감을 높이는 데 도움을 주는 책입니다.",https://mecca01.hgodo.com/main/9781368073868_600.jpg,https://mecca01.hgodo.com/goods/9781368073868_a.jpg,"디즈니,리더스,레벨1,월드오브리딩"
Disney Lots of Love! 3-In-1: World of Reading (Level 1)(CD음원포함),추천 리더스,2.2,Disney Press,Disney Press,9781368047111,"디즈니 캐릭터들의 사랑과 우정을 주제로 한 이야기를 통해 영어 읽기의 기초를 익힐 수 있습니다. 쉬운 문장과 반복되는 표현으로 자연스럽게 어휘와 문장 구조를 익히며, 함께 제공되는 음원을 활용해 듣기와 읽기를 연계한 학습이 가능합니다. 친숙한 캐릭터와 따뜻한 이야기 속에서 영어 표현을 익히고 읽기 자신감을 키우는 데 도움을 줍니다.",https://mecca01.hgodo.com/main/9781368047111_600.jpg,https://mecca01.hgodo.com/goods/9781368047111_a.jpg,"디즈니,리더스,레벨1,월드오브리딩"
Daniel Tiger's Neighborhood: Daniel's Little Library 12 Book Boxed Set,"추천 리더스,추천 스토리북",2.5~2.8,Simon & Schuster,Simon & Schuster,9781665900614,"다니엘 타이거와 친구들의 일상 속 이야기를 작은 책 12권으로 나누어 담은 구성으로, 감정 표현과 사회적 상황을 쉽게 이해할 수 있도록 도와주는 시리즈예요. 짧고 명확한 이야기 흐름 속에서 배려, 우정, 감정 조절 같은 기본적인 생활 습관을 자연스럽게 익히도록 설계되어 있습니다.",https://mecca01.hgodo.com/main/9781665900614_600.jpg,https://mecca01.hgodo.com/goods/9781665900614_a.jpg,"스토리북,다니엘타이거,리더스"
스콜라스틱 Nonfiction Sight Word Readers A~D (Story Plus QR포함),추천 리더스,,Scholastic,Scholastic,9789813380394,"자주 사용되는 핵심 단어를 반복적으로 접하며 영어 읽기의 기초를 다질 수 있도록 구성되어 다양한 논픽션 주제를 통해 배경지식과 어휘력을 함께 키우고, 반복되는 문장 패턴으로 자연스럽게 사이트 워드와 읽기 능력을 익힐 수 있습니다. 스토리 플러스 어플을 통한 음원을 활용해 듣기와 읽기를 연계하며 영어 문장에 대한 이해력과 자신감을 높이는 데 도움을 줍니다.",https://mecca01.hgodo.com/main/9789813380394_600.jpg,https://mecca01.hgodo.com/goods/9789813380394_a.jpg,"논픽션,리더스,사이드워드"
Disney Moana: Moana's Story Collection (Step into Reading Level 2 & 3)(5 Books in 1),추천 리더스,,Disney Press,Random House,9780736443609,"모아나가 바다를 향해 떠나는 모험과 성장의 이야기를 담아, 용기와 도전의 의미를 함께 생각해 볼 수 있습니다. 영화 속 친숙한 캐릭터와 장면을 바탕으로 자연스러운 영어 표현을 접하고, 이야기의 흐름을 따라가며 문장 이해와 독서 몰입감을 높여줍니다. 모험심과 상상력을 자극하는 스토리로 영어 읽기를 시작하는 어린이에게 적합합니다.",https://mecca01.hgodo.com/main/9780736443609_600.jpg,https://mecca01.hgodo.com/goods/9780736443609_a.jpg,"디즈니,리더스,모아나,스텝인투리딩,레벨2,레벨3"
Disney Frozen: Frozen Story Collection (Step into Reading Level 1 & 2)(5 Books in 1),추천 리더스,,Disney Press,Random House,9780736434355,"엘사와 안나의 이야기를 통해 가족, 우정, 용기라는 주제를 영어로 만나볼 수 있습니다. 친숙한 디즈니 캐릭터와 감정이 담긴 스토리를 따라가며 일상적인 영어 표현과 문장 구조를 자연스럽게 익힐 수 있습니다. 좋아하는 이야기를 읽으며 영어 독서에 대한 흥미를 이어갈 수 있도록 도와줍니다.",https://mecca01.hgodo.com/main/9780736434355_600.jpg,https://mecca01.hgodo.com/goods/9780736434355_a.jpg,"디즈니,프로즌,겨울왕국,리더스,스텝인투리딩,레벨1,레벨2"
Avatar The Last Airbender: Aang's Epic Adventures! (Step into Reading Level 4)(3 Book in 1),추천 리더스,,Random House,Random House,9780593710203,"아앙과 친구들이 펼치는 판타지 모험을 통해 흥미진진한 이야기 속 영어 표현을 접할 수 있습니다. 다양한 캐릭터와 세계관, 사건 전개를 따라가며 새로운 어휘와 긴 문장 구조를 자연스럽게 이해하고, 이야기 속 문제 해결 과정을 통해 사고력과 상상력을 함께 키울 수 있습니다.",https://mecca01.hgodo.com/main/9780593710203_600.jpg,https://mecca01.hgodo.com/goods/9780593710203_a.jpg,"아바타,리더스,스텝인투리딩,레벨4,얼리리더스"
L.O.L. Surprise!: Fun-Tastic Tales! (Step into Reading Level 3)(4 Books in 1),추천 리더스,,Random House,Random House,9780593709740,"개성 넘치는 L.O.L. Surprise! 캐릭터들의 이야기를 통해 다양한 상황 속 영어 표현을 만나볼 수 있습니다. 캐릭터별 특징과 재미있는 에피소드를 따라가며 쉬운 문장과 대화를 자연스럽게 익히고, 이야기 이해력을 높일 수 있습니다. 친숙한 캐릭터를 좋아하는 어린이가 영어 읽기에 흥미를 느끼기 좋은 책입니다.",https://mecca01.hgodo.com/main/9780593709740_600.jpg,https://mecca01.hgodo.com/goods/9780593709740_a.jpg,"lol,리더스,스텝인투리딩,얼리리더스,레벨3"
The Big Purple Book of Beginner Books (6 Books in 1),추천 리더스,0.8~2.0,P.D. Eastman,Random House,9780307975874,"아이들이 좋아하는 다양한 주제와 이야기 속에서 처음 읽기의 즐거움을 경험할 수 있습니다. 반복되는 문장과 운율감 있는 표현, 개성 있는 그림이 어우러져 소리 내어 읽기와 이야기 이해를 자연스럽게 이끌어줍니다. 영어 책을 처음 접하는 어린이가 부담 없이 독서 습관을 시작하기에 좋습니다.",https://mecca01.hgodo.com/main/9780307975874_600.jpg,https://mecca01.hgodo.com/goods/9780307975874_a.jpg,"리더스,빅퍼플,비기너,닥터수스"
My Big Book of Beginner Books About Me (6 Books in 1),추천 리더스,0.6~2.1,P.D. Eastman,Random House,9780307931832,"나와 가족, 주변 환경처럼 아이와 가까운 주제를 중심으로 구성되어 자신의 경험과 연결하며 읽을 수 있습니다. 일상적인 단어와 표현을 통해 영어 문장을 친숙하게 받아들이고, 자신에 대해 이야기하는 언어 감각을 키울 수 있습니다. 어린이의 첫 영어 독서와 자기 표현에 관심을 높여주는 책입니다.",https://mecca01.hgodo.com/main/9780307931832_600.jpg,http://mecca01.hgodo.com/goods/9780307931832_a.jpg,"리더스,비기너,닥터수스"
스콜라스틱 에이콘 Best Buddies 3 Books Set,추천 리더스,1.4~1.5,Vicky Fang,Scholastic,9781338865639,"친구들과 함께하는 일상과 관계 속 이야기를 통해 우정과 협력의 가치를 자연스럽게 담았습니다. 캐릭터들의 대화와 상황을 따라가며 실제 생활에서 활용할 수 있는 영어 표현을 접하고, 이야기 속 감정과 관계를 이해하는 경험을 제공합니다.",https://mecca01.hgodo.com/main/9781338865639_600.jpg,https://mecca01.hgodo.com/goods/9781338865639_a.jpg,베스트버디스
스콜라스틱 에이콘 Dragon Hill 2 Books Set,추천 리더스,2.3~2.4,Tracey West,Scholastic,9781546193173,"판타지 세계에서 펼쳐지는 모험과 사건을 통해 상상력을 자극하는 이야기를 만나볼 수 있습니다. 독특한 설정과 캐릭터들의 활약을 따라가며 다양한 어휘와 표현을 접하고, 긴 호흡의 이야기를 이해하는 읽기 경험을 제공합니다.",https://mecca01.hgodo.com/main/9781546193173_600.jpg,https://mecca01.hgodo.com/goods/9781546193173_a.jpg,"드래곤힐,리더스"
Ready to Catch Reader How to Catch Stories (Includes 6 Early Readers!)(Level 1),추천 리더스,,Adam Wallace,Sourcebooks,9781728240107,"기발한 아이디어와 유쾌한 상황이 담긴 이야기로 읽기에 대한 흥미를 높여줍니다. 반복되는 표현과 간결한 문장을 통해 어린이가 스스로 내용을 따라가며 읽는 경험을 할 수 있고, 이야기의 흐름을 이해하는 기초를 다질 수 있습니다.",https://mecca01.hgodo.com/main/9781728240107_600.jpg,https://mecca01.hgodo.com/goods/9781728240107_a.jpg,"리더스,레벨1,하우투캐치"
에릭 칼 My First Phonics Box 12 Books (World of Eric Carle),추천 리더스,,Eric Carle,Penguin Young Readers,9780593752289,"에릭 칼 특유의 선명한 그림과 함께 알파벳 소리와 기본 단어를 익힐 수 있도록 구성되어 있습니다. 반복적인 파닉스 패턴과 간단한 단어 읽기를 통해 글자와 소리의 관계를 자연스럽게 이해하고, 영어 읽기의 첫 단계를 안정적으로 시작할 수 있습니다.",https://mecca01.hgodo.com/main/9780593752289_600.jpg,https://mecca01.hgodo.com/goods/9780593752289_a.jpg,"에릭칼 파닉스,월드오브리딩,파닉스 리더스"
옥토넛 Octonauts Reading Adventure 10 Books Set (세이펜호환/QR음원 포함),"추천 리더스,추천 스토리북",,Meomi,PNKBOOKS,9791199318106,"바다 탐험대 옥토넛 리딩 어드벤처 시리즈는 과학과 자연 지식, 영어 읽기 학습을 한 권에 담아 자연스럽게 배울 수 있는 리더스북이예요. 각 권마다 옥토넛 팀이 바다 속에서 다양한 생물과 신기한 현상을 만나며 벌이는 재미있고 흥미진진한 모험을 담고 있어어요. 세이펜을 이용해 리딩 음원을 감상하고, 세이펜이 없어도 도서 뒷면의 QR 코드를 스캔하여 리딩 음원을 감상해 볼 수 있어요.",http://mecca01.hgodo.com/main/9791199318106_600.jpg,http://mecca01.hgodo.com/goods/9791199318106_a.jpg,"리더스,스토리북,바다탐험대,바다 탐험대"
마인크래프트 Minecraft Boxed Set (#1-3),추천 그래픽노블,,Sfe R. Monster 외,Dark Horse,9781506729015,마인크래프트 세계를 배경으로 펼쳐지는 모험과 생존 이야기를 담고 있습니다. 게임 속 친숙한 환경과 요소를 바탕으로 새로운 상황을 해결해 나가는 과정을 따라가며 창의적인 사고와 이야기 이해력을 키울 수 있습니다. 마인크래프트를 좋아하는 어린이가 영어 읽기에 자연스럽게 몰입할 수 있는 책입니다.,https://mecca01.hgodo.com/main/9781506729015_600.jpg,https://mecca01.hgodo.com/goods/9781506729015_a.jpg,그래픽노블
넷플릭스 시리즈 KPop Demon Hunters: The Official Movie Graphic Novel,추천 그래픽노블,,Random House,Puffin,9798217234301,"K-POP과 판타지 액션이 결합된 세계관 속에서 음악과 모험, 특별한 능력을 가진 캐릭터들의 이야기를 만나볼 수 있습니다. 영화의 장면과 대사를 그래픽 형식으로 접하며 스토리 흐름을 쉽게 이해하고, 시각적인 요소와 함께 영어 읽기에 흥미를 더할 수 있습니다.",https://mecca01.hgodo.com/main/9798217234301_600.jpg,https://mecca01.hgodo.com/goods/9798217234301_a.jpg,"그래픽노블,케데헌,케이팝데몬헌터스"
뉴베리 수상작 Roller Girl,추천 그래픽노블,3.2,Victoria Jamieson,Puffin,9780803740167,"롤러 더비를 통해 한 소녀가 성장하고 자신만의 길을 찾아가는 이야기를 담았습니다. 우정, 도전, 자신감이라는 주제를 현실적인 캐릭터와 섬세한 감정 표현으로 풀어내며, 성장 과정에서 겪는 고민과 변화를 공감할 수 있습니다. 그래픽 형식의 생생한 표현으로 이야기 몰입감을 높여주는 작품입니다.",https://mecca01.hgodo.com/main/9780803740167_600.jpg,https://mecca01.hgodo.com/goods/9780803740167_a.jpg,"그래픽노블,롤러걸"
Reign of Terror 2: The Epic Mincraft Saga Continues!,추천 그래픽노블,,Eddie Robson,Welbeck Publishing,9781839350092,마인크래프트 세계에서 펼쳐지는 판타지 모험과 긴장감 넘치는 사건을 담은 이야기입니다. 게임 속 설정을 기반으로 한 상상력 넘치는 전개와 캐릭터들의 활약을 따라가며 모험의 재미와 스토리 읽기의 즐거움을 경험할 수 있습니다.,https://mecca01.hgodo.com/main/9781839350092_600.jpg,https://mecca01.hgodo.com/goods/9781839350092_a.jpg,"마인크래프트,그래픽노블"
스콜라스틱 Fruitcake,추천 그래픽노블,2.3,Rex Ogle,Scholastic,9781338575071,엉뚱하고 유쾌한 상황 속에서 펼쳐지는 이야기를 통해 개성 있는 캐릭터와 독특한 사건을 만나볼 수 있습니다. 일상적인 소재를 재치 있게 풀어낸 전개와 캐릭터 간의 관계를 따라가며 유머와 감정 표현이 담긴 이야기를 즐길 수 있습니다.,https://mecca01.hgodo.com/main/9781338575071_600.jpg,https://mecca01.hgodo.com/goods/9781338575071_a.jpg,"프루트케이크,그래픽노블"
스콜라스틱 Four Eyes,추천 그래픽노블,2.6,Rex Ogle,Scholastic,9781338574968,"새로운 환경 속에서 자신을 이해하고 성장해 가는 이야기를 담고 있습니다. 학교생활과 친구 관계, 자신의 모습을 받아들이는 과정을 현실적으로 그려내며, 어린 독자가 등장인물의 고민과 변화를 공감하며 읽을 수 있습니다.",https://mecca01.hgodo.com/main/9781338574968_600.jpg,https://mecca01.hgodo.com/goods/9781338574968_a.jpg,"그래픽노블,포아이즈"
